,id,question,answer
0,0,1,0.0
1,1,1,1.0
2,2,1,2.0
3,3,1,
4,4,1,
5,5,1,1.0
6,6,1,
7,7,1,
8,8,1,
9,9,1,
10,10,1,6.0
11,11,1,59.0
12,12,1,30.0
13,13,1,
14,14,1,
15,15,1,
16,16,1,
17,17,1,
18,18,1,
19,19,1,
20,20,1,
21,21,1,71.0
22,22,1,41.0
23,23,1,
24,24,1,37.0
25,25,1,
26,26,1,
27,27,1,46.0
28,28,1,
29,29,1,
30,30,1,
31,31,1,
32,32,1,
33,33,1,
34,34,1,
35,35,1,
36,36,1,85.0
37,37,1,
38,38,1,
39,39,1,70.0
40,40,1,71.0
41,41,1,
42,42,1,
43,43,1,
44,44,1,35.0
45,45,1,10.0
46,46,1,
47,47,1,
48,48,1,5.0
49,49,1,6.0
50,50,1,22.0
51,51,1,
52,52,1,
53,53,1,
54,54,1,
55,55,1,
56,56,1,
57,57,1,2.0
58,58,1,
59,59,1,
60,60,1,
61,61,1,
62,62,1,0.0
63,63,1,20.0
64,64,1,
65,65,1,84.0
66,66,1,70.0
67,67,1,
68,68,1,
69,69,1,37.0
70,70,1,
71,71,1,
72,72,1,
73,73,1,
74,74,1,
75,75,1,
76,76,1,6.0
77,77,1,75.0
78,78,1,
79,79,1,87.0
80,80,1,88.0
81,81,1,80.0
82,82,1,
83,83,1,11.0
84,84,1,
85,85,1,
86,86,1,
87,87,1,
88,88,1,
89,89,1,
90,90,1,
91,91,1,
92,92,1,
93,93,1,
94,94,1,4.0
95,95,1,0.0
96,96,1,
97,97,1,
98,98,1,
99,99,1,20.0
100,100,1,1.0
101,101,1,
102,102,1,
103,103,1,
104,104,1,
105,105,1,
106,106,1,
107,107,1,
108,108,1,
109,109,1,
110,110,1,
111,111,1,
112,112,1,
113,113,1,
114,114,1,
115,115,1,
116,116,1,
117,117,1,
118,118,1,
119,119,1,
120,120,1,
121,121,1,
122,122,1,
123,123,1,
124,124,1,
125,125,1,
126,126,1,
127,127,1,
128,128,1,
129,129,1,
130,130,1,
131,131,1,
132,132,1,
133,133,1,
134,134,1,
135,135,1,
136,136,1,
137,137,1,
138,138,1,
139,139,1,
140,140,1,
141,141,1,
142,142,1,
143,143,1,
144,144,1,
145,145,1,
146,146,1,
147,147,1,
148,148,1,
149,149,1,
150,150,1,
151,151,1,
152,152,1,
153,153,1,
154,154,1,
155,155,1,
156,156,1,
157,157,1,
158,158,1,
159,159,1,
160,160,1,
161,161,1,
162,162,1,
163,163,1,
164,164,1,
165,165,1,
166,166,1,
167,167,1,
168,168,1,
169,169,1,
170,170,1,
171,171,1,
172,172,1,
173,173,1,
174,174,1,
175,175,1,
176,176,1,
177,177,1,
178,178,1,
179,179,1,
180,180,1,
181,181,1,
182,182,1,
183,183,1,
184,184,1,
185,185,1,
186,186,1,
187,187,1,
188,188,1,
189,189,1,
190,190,1,
191,191,1,
192,192,1,
193,193,1,
194,194,1,
195,195,1,
196,196,1,
197,197,1,
198,198,1,
199,199,1,
200,200,1,
201,201,1,
202,202,1,33.8
203,203,1,32.2315154504918
204,0,2,10.0
205,1,2,
206,2,2,3.0
207,3,2,10.0
208,4,2,
209,5,2,
210,6,2,19.0
211,7,2,29.0
212,8,2,30.0
213,9,2,
214,10,2,
215,11,2,
216,12,2,
217,13,2,
218,14,2,14.0
219,15,2,95.0
220,16,2,
221,17,2,40.0
222,18,2,40.0
223,19,2,30.0
224,20,2,
225,21,2,
226,22,2,
227,23,2,
228,24,2,
229,25,2,
230,26,2,40.0
231,27,2,
232,28,2,91.0
233,29,2,
234,30,2,82.0
235,31,2,90.0
236,32,2,
237,33,2,
238,34,2,
239,35,2,
240,36,2,
241,37,2,90.0
242,38,2,50.0
243,39,2,
244,40,2,
245,41,2,
246,42,2,58.0
247,43,2,
248,44,2,36.0
249,45,2,
250,46,2,
251,47,2,
252,48,2,
253,49,2,
254,50,2,
255,51,2,
256,52,2,
257,53,2,16.0
258,54,2,
259,55,2,
260,56,2,
261,57,2,
262,58,2,
263,59,2,
264,60,2,0.0
265,61,2,
266,62,2,
267,63,2,31.0
268,64,2,
269,65,2,
270,66,2,
271,67,2,
272,68,2,
273,69,2,9.0
274,70,2,
275,71,2,60.0
276,72,2,
277,73,2,
278,74,2,
279,75,2,80.0
280,76,2,
281,77,2,
282,78,2,90.0
283,79,2,
284,80,2,
285,81,2,80.0
286,82,2,
287,83,2,
288,84,2,
289,85,2,96.0
290,86,2,
291,87,2,21.0
292,88,2,100.0
293,89,2,
294,90,2,
295,91,2,90.0
296,92,2,66.0
297,93,2,
298,94,2,
299,95,2,
300,96,2,
301,97,2,56.0
302,98,2,29.0
303,99,2,
304,100,2,
305,101,2,
306,102,2,
307,103,2,
308,104,2,
309,105,2,
310,106,2,
311,107,2,
312,108,2,
313,109,2,
314,110,2,
315,111,2,
316,112,2,
317,113,2,
318,114,2,
319,115,2,
320,116,2,
321,117,2,
322,118,2,
323,119,2,
324,120,2,
325,121,2,
326,122,2,
327,123,2,
328,124,2,
329,125,2,
330,126,2,
331,127,2,
332,128,2,
333,129,2,
334,130,2,
335,131,2,
336,132,2,
337,133,2,
338,134,2,
339,135,2,
340,136,2,
341,137,2,
342,138,2,
343,139,2,
344,140,2,
345,141,2,
346,142,2,
347,143,2,
348,144,2,
349,145,2,
350,146,2,
351,147,2,
352,148,2,
353,149,2,
354,150,2,
355,151,2,
356,152,2,
357,153,2,
358,154,2,
359,155,2,
360,156,2,
361,157,2,
362,158,2,
363,159,2,
364,160,2,
365,161,2,
366,162,2,
367,163,2,
368,164,2,
369,165,2,
370,166,2,
371,167,2,
372,168,2,
373,169,2,
374,170,2,
375,171,2,
376,172,2,
377,173,2,
378,174,2,
379,175,2,
380,176,2,
381,177,2,
382,178,2,
383,179,2,
384,180,2,
385,181,2,
386,182,2,
387,183,2,
388,184,2,
389,185,2,
390,186,2,
391,187,2,
392,188,2,
393,189,2,
394,190,2,
395,191,2,
396,192,2,
397,193,2,
398,194,2,
399,195,2,
400,196,2,
401,197,2,
402,198,2,
403,199,2,
404,200,2,
405,201,2,
406,202,2,49.44117647058821
407,203,2,32.2745712611202
408,0,3,
409,1,3,
410,2,3,
411,3,3,
412,4,3,
413,5,3,
414,6,3,
415,7,3,50.0
416,8,3,10.0
417,9,3,50.0
418,10,3,
419,11,3,
420,12,3,
421,13,3,52.0
422,14,3,
423,15,3,95.0
424,16,3,
425,17,3,
426,18,3,
427,19,3,
428,20,3,
429,21,3,
430,22,3,34.0
431,23,3,
432,24,3,38.0
433,25,3,30.0
434,26,3,57.0
435,27,3,51.0
436,28,3,
437,29,3,
438,30,3,69.0
439,31,3,
440,32,3,
441,33,3,
442,34,3,
443,35,3,70.0
444,36,3,100.0
445,37,3,
446,38,3,81.0
447,39,3,
448,40,3,
449,41,3,67.0
450,42,3,64.0
451,43,3,
452,44,3,
453,45,3,
454,46,3,
455,47,3,
456,48,3,
457,49,3,3.0
458,50,3,
459,51,3,
460,52,3,33.0
461,53,3,
462,54,3,16.0
463,55,3,11.0
464,56,3,10.0
465,57,3,7.0
466,58,3,
467,59,3,50.0
468,60,3,
469,61,3,
470,62,3,
471,63,3,
472,64,3,
473,65,3,
474,66,3,
475,67,3,
476,68,3,
477,69,3,
478,70,3,0.0
479,71,3,
480,72,3,
481,73,3,
482,74,3,
483,75,3,
484,76,3,52.0
485,77,3,
486,78,3,71.0
487,79,3,53.0
488,80,3,
489,81,3,
490,82,3,
491,83,3,
492,84,3,55.0
493,85,3,
494,86,3,31.0
495,87,3,20.0
496,88,3,100.0
497,89,3,
498,90,3,80.0
499,91,3,50.0
500,92,3,
501,93,3,53.0
502,94,3,
503,95,3,0.0
504,96,3,
505,97,3,
506,98,3,18.0
507,99,3,
508,100,3,
509,101,3,
510,102,3,
511,103,3,
512,104,3,
513,105,3,
514,106,3,
515,107,3,
516,108,3,
517,109,3,
518,110,3,
519,111,3,
520,112,3,
521,113,3,
522,114,3,
523,115,3,
524,116,3,
525,117,3,
526,118,3,
527,119,3,
528,120,3,
529,121,3,
530,122,3,
531,123,3,
532,124,3,
533,125,3,
534,126,3,
535,127,3,
536,128,3,
537,129,3,
538,130,3,
539,131,3,
540,132,3,
541,133,3,
542,134,3,
543,135,3,
544,136,3,
545,137,3,
546,138,3,
547,139,3,
548,140,3,
549,141,3,
550,142,3,
551,143,3,
552,144,3,
553,145,3,
554,146,3,
555,147,3,
556,148,3,
557,149,3,
558,150,3,
559,151,3,
560,152,3,
561,153,3,
562,154,3,
563,155,3,
564,156,3,
565,157,3,
566,158,3,
567,159,3,
568,160,3,
569,161,3,
570,162,3,
571,163,3,
572,164,3,
573,165,3,
574,166,3,
575,167,3,
576,168,3,
577,169,3,
578,170,3,
